"type","county","name","address","city","zip","zip4","phone","fax","url","grades"
"PUBLIC","Jefferson","Driswood Elementary School","75 Caspian Way ","Shenandoah Junction","25442","","8855020","7251936","","PK05"
"NON-PUBLIC","Jefferson","Wee Disciples Christian Enrichment Progr","110 W North Street ","Charles Town","25414","","7076812","","",""
"PUBLIC","Jefferson","Wright Denny Intermediate School","209 West Congress Street ","Charles Town","25414","1623","7252513","7251721","http://boe.jeff.k12.wv.us/wdis","0305"
"NON-PUBLIC","Jefferson","Country Day School Of Jefferson County","449 Rose Hill Drive ","Kearneysville","25430","","7251438","","http://www.thecountrydayschool.com",""
"PUBLIC","Jefferson","C. W. Shipley Elementary School","652 Shipley School Road ","Harpers Ferry","25425","3131","7254395","7287388","http://boe.jeff.k12.wv.us/cwses","0K05"
"PUBLIC","Jefferson","Blue Ridge Primary","175 Lowery Lane ","Harpers Ferry","25425","","","","","PK01"
"PUBLIC","Jefferson","Jefferson High School","4141 Flowing Springs Road ","Shenandoah Junction","25442","4712","7258491","7286590","http://boe.jeff.k12.wv.us/jhs","0912"
"PUBLIC","Jefferson","Ranson Elementary School","600 North Preston Street ","Ranson","25438","1546","7257310","7251912","http://boe.jeff.k12.wv.us/res","PK05"
"PUBLIC","Jefferson","Shepherdstown Middle School","54 Minden Avenue ","Shepherdstown","25443","4771","8766120","8761826","http://boe.jeff.k12.wv.us/sms","0608"
"PUBLIC","Jefferson","North Jefferson Elementary","6996 Charles Town Road ","Kearneysville","25430","2770","7259587","7287331","http://boe.jeff.k12.wv.us/njes","PK05"
"PUBLIC","Jefferson","Charles Town Middle School","193 High Street ","Charles Town","25414","1244","7257821","7287526","http://boe.jeff.k12.wv.us/ctms","0608"
"ADMINISTRATIVE","Jefferson","Jefferson County Schools"," 110 Mordington Avenue","Charles Town","25414","1693","7259741","7256487","http://boe.jeff.k12.wv.us/",""
"NON-PUBLIC","Jefferson","The Joy Of Learning Montessori","P.o. Box 889 ","Harpers Ferry","25425","","5826729","","",""
"PUBLIC","Jefferson","T A Lowery Elementary School","103 Shenandoah Junction Road ","Shenandoah Junction","25442","4757","7287250","7287631","http://boe.jeff.k12.wv.us/tales","PK05"
"PUBLIC","Kanawha","Pinch Elementary School","300 South Pinch Rd ","Elkview","25071","","3481943","3481944","http://pinch.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Freedom Christian Academy","Po Box 754 ","Nitro","25143","","7557075","","",""
"PUBLIC","Kanawha","Holz Elementary School","1505 Hampton Rd ","Charleston","25314","","3481906","3450387","http://holz.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Ben Franklin Career Center","500 28th Street ","Dunbar","25064","","7660369","7660371","http://benfranklinctc.weebly.com/",""
"PUBLIC","Kanawha","Cedar Grove Elementary School","Po Box J ","Cedar Grove","25039","","9491642","5952541","http://cg.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Stonewall Jackson Middle School","812 Park Avenue ","Charleston","25302","","3486123","3481999","http://www.sjgenerals.com/","0608"
"NON-PUBLIC","Kanawha","Charleston Montessori","319 Washington Street West","Charleston","25302","","3409000","","http://www.charlestonmontessori.com",""
"PUBLIC","Kanawha","Andrew Jackson Middle School","5445 Big Tyler Road ","Charleston","25313","","7763310","7763305","http://KCS.KANA.K12.WV.US/AJMS/","0608"
"PUBLIC","Kanawha","Sissonville Elementary School","8324 Sissonville Drive ","Sissonville","25320","","3481961","3486147","http://kcs.kana.k12.wv.us/sisselem/","PK04"
"NON-PUBLIC","Kanawha","Saint Francis Of Assisi","525 Holley Street ","Saint Albans","25177","","7275690","","http://www.sfswv.com/",""
"PUBLIC","Kanawha","Nitro Elementary School","1921 19th Street ","Nitro","25143","","7552451","7559215","http://nitro.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Upper Kanawha Valley Christian School","12721 Mccorkle Avenue ","Chesapeake","25315","","","","",""
"PUBLIC","Kanawha","Glenwood Elementary School","810 Grant St ","Charleston","25302","","3486610","3486681","","PK05"
"PUBLIC","Kanawha","Riverside High School","#1 Warrior Way ","Belle","25015","","3481996","","http://rhs.kana.k12.wv.us","0912"
"PUBLIC","Kanawha","Bonham Elementary School","Route 1, Box 425a ","Charleston","25312","","3481912","3481367","","PK05"
"PUBLIC","Kanawha","Sissonville Middle School","100 Middle School Lane ","Charleston","25312","","3481993","3486594","http://sms.wvnet.edu/","0508"
